price,ts
61.95,1760629680
61.95,1760629860
61.97,1760630040
62.06,1760630220
62,1760630400
62.02,1760630580
61.97,1760630760
61.9,1760630940
61.86,1760631120
61.97,1760631300
62.03,1760631480
61.98,1760631660
61.94,1760631840
61.99,1760632020
61.95,1760632200
62,1760632380
61.95,1760632560
61.91,1760632740
61.89,1760632920
61.97,1760633100
61.91,1760633280
61.86,1760633460
61.87,1760633640
61.99,1760633820
62.13,1760634000
62.09,1760634180
62.14,1760634360
62.1,1760634540
62.16,1760634720
62.21,1760634900
62.09,1760635080
62.05,1760635260
62.01,1760635440
61.86,1760635620
61.81,1760635800
61.69,1760635980
61.62,1760636160
61.53,1760636340
61.41,1760636520
61.71,1760636700
61.76,1760636880
61.73,1760637060
61.75,1760637240
61.84,1760637420
61.91,1760637600
61.96,1760637780
61.85,1760637960
61.89,1760638140
61.9,1760638320
61.77,1760638500
61.84,1760638680
61.77,1760638860
61.77,1760639040
61.76,1760639220
61.55,1760639400
61.55,1760639580
61.7,1760639760
61.62,1760639940
61.51,1760640120
61.37,1760640300
61.24,1760640480
61.09,1760640660
61.27,1760640840
61.35,1760641020
61.39,1760641200
61.37,1760641380
61.39,1760641560
61.24,1760641740
61.23,1760641920
61.18,1760642100
61.24,1760642280
61.14,1760642460
61.12,1760642640
61.08,1760642820
61.21,1760643000
61.17,1760643180
61.17,1760643360
61.1,1760643540
61.08,1760643720
61.02,1760643900
61.04,1760644080
61,1760644260
61.01,1760644440
61.03,1760644620
61.09,1760644800
60.99,1760644980
61.08,1760645160
60.99,1760645340
60.98,1760645520
60.89,1760645700
60.92,1760645880
60.96,1760646060
60.93,1760646240
61.1,1760646420
61.16,1760646600
61.15,1760646780
61.18,1760646960
61.19,1760647140
61.26,1760647320
61.26,1760647500
61.12,1760647680
61.17,1760647860
61.18,1760648040
61.2,1760648220
61.18,1760648400
61.18,1760648580
61.19,1760648760
61.16,1760648940
61.18,1760649120
61.11,1760649300
61.12,1760649480
61.07,1760649660
61.08,1760649840
61.07,1760650020
61.05,1760650200
61.03,1760650380
61.03,1760650560
61.03,1760650740
61.05,1760650920
61.06,1760651100
61.15,1760651280
61.12,1760651460
61.1,1760651640
61.11,1760651820
61.1,1760652000
61.1,1760652180
61.05,1760652360
61.02,1760652540
61.02,1760652720
61.06,1760652900
61.07,1760653080
61.05,1760653260
61.08,1760653440
61.12,1760653620
61.12,1760653800
61.11,1760653980
61.1,1760654160
61.07,1760654340
61.08,1760654520
61.09,1760654700
60.98,1760654880
61.01,1760655060
60.97,1760655240
61.06,1760655420
61.04,1760655600
61.02,1760655780
61.02,1760655960
61.01,1760656140
61.01,1760656320
61.01,1760656500
61.01,1760656860
61.01,1760657760
61.04,1760658120
61.01,1760658300
61.01,1760658660
61,1760658840
61.02,1760659020
